Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),hour,day_of_week,month,hour_sin,hour_cos,month_sin,month_cos,wd_sin,wd_cos
2015-05-25 06:30:00,987.81,12.67,286.83,9.9,83.2,14.68,12.21,2.47,7.73,12.36,1198.29,1.41,2.08,201.9,6,0,5,0.9914448613738105,-0.13052619222005138,0.49999999999999994,-0.8660254037844387,-0.372987782575809,-0.92783625389892
2015-05-25 06:40:00,987.83,12.53,286.69,9.92,84.1,14.54,12.23,2.31,7.74,12.38,1198.89,1.21,1.92,204.6,6,0,5,0.984807753012208,-0.1736481776669303,0.49999999999999994,-0.8660254037844387,-0.416280792260401,-0.9092361090470686
2015-05-25 06:50:00,987.81,12.48,286.64,9.98,84.7,14.5,12.28,2.22,7.77,12.43,1199.05,0.57,1.2,223.0,6,0,5,0.9762960071199334,-0.2164396139381028,0.49999999999999994,-0.8660254037844387,-0.6819983600624984,-0.7313537016191706
2015-05-25 07:00:00,987.84,12.54,286.7,10.13,85.2,14.55,12.4,2.15,7.84,12.55,1198.78,1.11,1.68,138.0,7,0,5,0.9659258262890683,-0.25881904510252085,0.49999999999999994,-0.8660254037844387,0.6691306063588583,-0.7431448254773941
2015-05-25 07:10:00,987.82,12.46,286.62,10.31,86.7,14.48,12.55,1.93,7.94,12.71,1199.02,1.22,2.72,129.8,7,0,5,0.9537169507482269,-0.30070579950427295,0.49999999999999994,-0.8660254037844387,0.7682835235935233,-0.6401096994849557
2015-05-25 07:20:00,987.99,12.52,286.67,10.44,87.1,14.53,12.66,1.87,8.01,12.81,1198.93,1.21,3.0,161.6,7,0,5,0.9396926207859084,-0.3420201433256687,0.49999999999999994,-0.8660254037844387,0.31564903694710256,-0.9488760116444965
2015-05-25 07:30:00,988.01,12.65,286.8,10.51,86.8,14.66,12.72,1.93,8.05,12.88,1198.38,0.49,0.9,181.3,7,0,5,0.9238795325112867,-0.3826834323650897,0.49999999999999994,-0.8660254037844387,-0.0226873335727816,-0.9997426093226983
2015-05-25 07:40:00,988.02,12.73,286.88,10.59,86.8,14.74,12.79,1.95,8.09,12.95,1198.02,0.67,1.08,157.9,7,0,5,0.90630778703665,-0.42261826174069933,0.49999999999999994,-0.8660254037844387,0.3762242631393657,-0.9265286308718372
2015-05-25 07:50:00,988.02,12.73,286.88,10.61,86.9,14.74,12.8,1.93,8.1,12.96,1198.02,1.12,1.88,150.3,7,0,5,0.8870108331782218,-0.4617486132350338,0.49999999999999994,-0.8660254037844387,0.4954586684324074,-0.8686315144381913
2015-05-25 08:00:00,987.96,12.81,286.96,10.69,86.9,14.81,12.87,1.94,8.14,13.03,1197.58,1.07,1.88,172.8,8,0,5,0.8660254037844387,-0.4999999999999998,0.49999999999999994,-0.8660254037844387,0.1253332335643041,-0.9921147013144779
2015-05-25 08:10:00,988.0,12.88,287.03,10.72,86.7,14.88,12.9,1.98,8.16,13.06,1197.32,1.3,1.68,175.3,8,0,5,0.8433914458128858,-0.5372996083468236,0.49999999999999994,-0.8660254037844387,0.08193850863004083,-0.9966373868180366
2015-05-25 08:20:00,988.0,13.04,287.19,10.88,86.7,15.04,13.04,2.0,8.25,13.2,1196.59,1.09,2.2,169.3,8,0,5,0.819152044288992,-0.5735764363510458,0.49999999999999994,-0.8660254037844387,0.18566661538557724,-0.9826127965436152
2015-05-25 08:30:00,987.99,13.21,287.36,11.01,86.5,15.21,13.15,2.05,8.32,13.31,1195.81,0.94,1.68,187.6,8,0,5,0.7933533402912352,-0.6087614290087207,0.49999999999999994,-0.8660254037844387,-0.1322563902571225,-0.9912155402515417
2015-05-25 08:40:00,987.9,13.47,287.63,11.13,85.7,15.47,13.25,2.21,8.39,13.42,1194.57,0.64,1.24,188.4,8,0,5,0.766044443118978,-0.6427876096865394,0.49999999999999994,-0.8660254037844387,-0.1460830285624117,-0.9892723329629883
2015-05-25 08:50:00,987.88,13.85,288.01,11.2,84.0,15.85,13.32,2.54,8.43,13.48,1192.94,1.14,2.16,150.8,8,0,5,0.7372773368101241,-0.6755902076156602,0.49999999999999994,-0.8660254037844387,0.48785965913873264,-0.8729220772698097
2015-05-25 09:00:00,987.94,14.24,288.4,11.25,82.2,16.26,13.37,2.89,8.46,13.53,1191.37,1.17,2.2,154.0,9,0,5,0.7071067811865476,-0.7071067811865475,0.49999999999999994,-0.8660254037844387,0.4383711467890773,-0.898794046299167
2015-05-25 09:10:00,987.86,14.43,288.6,11.33,81.6,16.46,13.43,3.03,8.5,13.6,1190.45,1.91,2.88,152.4,9,0,5,0.6755902076156604,-0.737277336810124,0.49999999999999994,-0.8660254037844387,0.4632960351198616,-0.8862035792312147
2015-05-25 09:20:00,987.71,14.56,288.74,11.42,81.4,16.6,13.51,3.09,8.55,13.68,1189.7,1.15,1.96,183.4,9,0,5,0.6427876096865395,-0.7660444431189779,0.49999999999999994,-0.8660254037844387,-0.05930637357596181,-0.9982398279237652
