feature,grupo,disponibilidade,descricao,status,nota
price_t,estado_na_origem,conhecido em t,Valor observado na origem para prever o passo seguinte.,aprovado,
treasury_10y_t,estado_na_origem,conhecido em t,Valor observado na origem para prever o passo seguinte.,provisorio,Fonte/unidade/atraso de publicação ainda pendentes.
fed_funds_rate_t,estado_na_origem,conhecido em t,Valor observado na origem para prever o passo seguinte.,provisorio,Fonte/unidade/atraso de publicação ainda pendentes.
log_price_t,estado_na_origem,conhecido em t,Valor observado na origem para prever o passo seguinte.,aprovado,
log_return_t,estado_na_origem,conhecido em t,Valor observado na origem para prever o passo seguinte.,aprovado,
source_observations,cobertura,conhecida em t,Cobertura já observada na origem.,aprovado,
has_source_observation_t,cobertura,conhecida em t,Cobertura já observada na origem.,aprovado,
price_was_carried,cobertura,conhecida em t,Cobertura já observada na origem.,aprovado,
quote_age_days,cobertura,conhecida em t,Cobertura já observada na origem.,aprovado,
treasury_change_t,variacao_na_origem,conhecida em t,Variação calculada até a origem.,provisorio,Derivada da taxa provisória na origem.
fed_funds_change_t,variacao_na_origem,conhecida em t,Variação calculada até a origem.,provisorio,Derivada da taxa provisória na origem.
price_lag_1,defasagem,somente passado,Defasagem positiva; exclui a observação da data-alvo.,aprovado,
price_lag_4,defasagem,somente passado,Defasagem positiva; exclui a observação da data-alvo.,aprovado,
price_lag_13,defasagem,somente passado,Defasagem positiva; exclui a observação da data-alvo.,aprovado,
price_lag_26,defasagem,somente passado,Defasagem positiva; exclui a observação da data-alvo.,aprovado,
price_lag_52,defasagem,somente passado,Defasagem positiva; exclui a observação da data-alvo.,aprovado,
return_lag_1,defasagem,somente passado,Defasagem positiva; exclui a observação da data-alvo.,aprovado,
return_lag_2,defasagem,somente passado,Defasagem positiva; exclui a observação da data-alvo.,aprovado,
return_lag_4,defasagem,somente passado,Defasagem positiva; exclui a observação da data-alvo.,aprovado,
return_lag_8,defasagem,somente passado,Defasagem positiva; exclui a observação da data-alvo.,aprovado,
return_lag_13,defasagem,somente passado,Defasagem positiva; exclui a observação da data-alvo.,aprovado,
return_lag_26,defasagem,somente passado,Defasagem positiva; exclui a observação da data-alvo.,aprovado,
return_lag_52,defasagem,somente passado,Defasagem positiva; exclui a observação da data-alvo.,aprovado,
price_mean_4,janela_deslocada,termina em t-1,Janela móvel deslocada para não incluir o valor previsto.,aprovado,
price_std_4,janela_deslocada,termina em t-1,Janela móvel deslocada para não incluir o valor previsto.,aprovado,
return_mean_4,janela_deslocada,termina em t-1,Janela móvel deslocada para não incluir o valor previsto.,aprovado,
return_std_4,janela_deslocada,termina em t-1,Janela móvel deslocada para não incluir o valor previsto.,aprovado,
price_mean_13,janela_deslocada,termina em t-1,Janela móvel deslocada para não incluir o valor previsto.,aprovado,
price_std_13,janela_deslocada,termina em t-1,Janela móvel deslocada para não incluir o valor previsto.,aprovado,
return_mean_13,janela_deslocada,termina em t-1,Janela móvel deslocada para não incluir o valor previsto.,aprovado,
return_std_13,janela_deslocada,termina em t-1,Janela móvel deslocada para não incluir o valor previsto.,aprovado,
price_mean_26,janela_deslocada,termina em t-1,Janela móvel deslocada para não incluir o valor previsto.,aprovado,
price_std_26,janela_deslocada,termina em t-1,Janela móvel deslocada para não incluir o valor previsto.,aprovado,
return_mean_26,janela_deslocada,termina em t-1,Janela móvel deslocada para não incluir o valor previsto.,aprovado,
return_std_26,janela_deslocada,termina em t-1,Janela móvel deslocada para não incluir o valor previsto.,aprovado,
price_mean_52,janela_deslocada,termina em t-1,Janela móvel deslocada para não incluir o valor previsto.,aprovado,
price_std_52,janela_deslocada,termina em t-1,Janela móvel deslocada para não incluir o valor previsto.,aprovado,
return_mean_52,janela_deslocada,termina em t-1,Janela móvel deslocada para não incluir o valor previsto.,aprovado,
return_std_52,janela_deslocada,termina em t-1,Janela móvel deslocada para não incluir o valor previsto.,aprovado,
treasury_lag_1,defasagem,somente passado,Defasagem positiva; exclui a observação da data-alvo.,aprovado,
treasury_lag_4,defasagem,somente passado,Defasagem positiva; exclui a observação da data-alvo.,aprovado,
treasury_lag_13,defasagem,somente passado,Defasagem positiva; exclui a observação da data-alvo.,aprovado,
fed_funds_lag_1,defasagem,somente passado,Defasagem positiva; exclui a observação da data-alvo.,aprovado,
fed_funds_lag_4,defasagem,somente passado,Defasagem positiva; exclui a observação da data-alvo.,aprovado,
fed_funds_lag_13,defasagem,somente passado,Defasagem positiva; exclui a observação da data-alvo.,aprovado,
target_week_sin,calendario,conhecido antecipadamente,Codificação cíclica da data-alvo.,aprovado,
target_week_cos,calendario,conhecido antecipadamente,Codificação cíclica da data-alvo.,aprovado,
target_month_sin,calendario,conhecido antecipadamente,Codificação cíclica da data-alvo.,aprovado,
target_month_cos,calendario,conhecido antecipadamente,Codificação cíclica da data-alvo.,aprovado,
